model,split,n,prevalence,precision,recall,f1,accuracy,roc_auc,pr_auc,brier,flag_rate
withdrawal_prevalence_baseline,validation,82125,0.03772298325722983,0.0,0.0,0.0,0.9622770167427702,0.5,0.03772298325722983,0.036330308032765095,0.0
withdrawal_prevalence_baseline,test,117186,0.03933917020804533,0.0,0.0,0.0,0.9606608297919547,0.5,0.03933917020804533,0.037842367098503825,0.0
withdrawal_logistic_regression,validation,82125,0.03772298325722983,0.06739682442561262,0.711103938024532,0.12312421405616879,0.6179117199391172,0.7084392335270302,0.07178755781892174,0.22806574606774468,0.3980152207001522
withdrawal_logistic_regression,test,117186,0.03933917020804533,0.08003824737049328,0.617353579175705,0.14170483967337186,0.7058010342532385,0.7038305344592855,0.08225078730776324,0.19210127563153293,0.30343215059819434
