mean_predicted_probability,observed_event_rate,records
0.028117827982928622,0.029866029524703474,11719
0.050992239712121794,0.05154023380834542,11719
0.07199752068209597,0.07168458781362007,11718
0.09478071999759884,0.0881474528543391,11719
0.12106345314833356,0.11614610001706775,11718
0.15255275117817788,0.18235344312654664,11719
0.1935344057764128,0.2119815668202765,11718
0.26642899997095687,0.27331683590750067,11719
0.4875847101173929,0.3847072879330944,11718
0.8494951566303528,0.7000597320590494,11719
